TIME [min]      ID         DISTANCE [m]   
485             PE08       24744893.841544
490             PE08       24879235.463489
495             PE08       25017198.570096
500             PE08       25158427.434640
505             PE08       25302563.026868
510             PE08       25449240.322026
515             PE08       25598090.134135
520             PE08       25748745.202881
525             PE08       25900842.232318
530             PE08       26054006.626567
535             PE08       26207875.034077
540             PE08       26362093.460131
545             PE08       26516299.452200
550             PE08       26670146.583306
555             PE08       26823285.884544
560             PE08       26975383.715823
565             PE08       27126113.362711
570             PE08       27275154.476176
575             PE08       27422195.924753
580             PE08       27566940.145104
585             PE08       27709096.510546
590             PE08       27848384.367441
595             PE08       27984542.747552
600             PE08       28117314.684195
605             PE08       28246459.579681
610             PE08       28371749.913469
615             PE08       28492966.995438
620             PE08       28609908.007399
625             PE08       28722388.747001
630             PE08       28830231.203024
635             PE08       28933275.594324
640             PE08       29031376.026315
645             PE08       29124400.019073
650             PE08       29212228.916984
655             PE08       29294763.797479
660             PE08       29371911.179529
665             PE08       29443599.882025
670             PE08       29509773.691436
675             PE08       29570386.415606
680             PE08       29625413.271191
685             PE08       29674834.27926 
690             PE08       29718659.126371
695             PE08       29756895.456704
700             PE08       29789581.373384
705             PE08       29816758.553528
710             PE08       29838492.444689
715             PE08       29854854.616151
720             PE08       29865935.963521
725             PE08       29871842.593780
730             PE08       29872694.870229
735             PE08       29868619.634196
740             PE08       29859771.248639
745             PE08       29846305.185040
750             PE08       29828400.249383
755             PE08       29806236.245472
760             PE08       29780022.290454
765             PE08       29749962.387282
770             PE08       29716287.270217
775             PE08       29679232.529532
780             PE08       29639044.771891
785             PE08       29595983.823613
790             PE08       29550315.883607
795             PE08       29502322.19548 
800             PE08       29452288.437184
805             PE08       29400508.255813
810             PE08       29347289.460784
815             PE08       29292938.380050
820             PE08       29237772.494066
825             PE08       29182112.888580
830             PE08       29126287.877448
835             PE08       29070616.524854
840             PE08       29015439.145741
845             PE08       28961084.039612
850             PE08       28907882.491800
855             PE08       28856160.550136
860             PE08       28806253.617205
865             PE08       28758483.690673
870             PE08       28713167.309647
875             PE08       28670619.371105
880             PE08       28631142.735216
885             PE08       28595037.978021
890             PE08       28562590.208398
895             PE08       28534072.805074
900             PE08       28509751.657827
905             PE08       28489871.307459
910             PE08       28474662.362339
915             PE08       28464350.243409
920             PE08       28459126.241037
925             PE08       28459178.505815
930             PE08       28464662.164308
935             PE08       28475724.983259
940             PE08       28492485.697639
945             PE08       28515047.426246
950             PE08       28543479.993481
955             PE08       28577848.376938
960             PE08       28618182.417737
965             PE08       28664494.393138
970             PE08       28716775.735782
975             PE08       28774987.450222
980             PE08       28839075.203816
985             PE08       28908967.029619
990             PE08       28984563.364584
995             PE08       29065747.678103
1000            PE08       29152380.472298
1005            PE08       29244304.590439
1010            PE08       29341349.842972
1015            PE08       29443325.413943
1020            PE08       29550024.425827
1025            PE08       29661227.152393
1030            PE08       29776699.236436
1035            PE08       29896196.173216
1040            PE08       30019459.697721
1045            PE08       30146227.800310
1050            PE08       30276217.867024
1055            PE08       30409156.637167
1060            PE08       30544747.548236
1065            PE08       30682706.910923
1070            PE08       30822734.715321
1075            PE08       30964534.859307
1080            PE08       31107804.301456
1085            PE08       31252249.097081
1090            PE08       31397563.265634
1095            PE08       31543452.511867
1100            PE08       31689625.687436
1105            PE08       31835790.523978
1110            PE08       31981661.127823
1115            PE08       32126956.733275
1120            PE08       32271399.203516
1125            PE08       32414725.957271
1130            PE08       32556674.257295
1135            PE08       32696992.802139
1140            PE08       32835432.973318
1145            PE08       32971764.430762
1150            PE08       33105762.343549
1155            PE08       33237204.010729
1160            PE08       33365889.339682
1165            PE08       33491623.740639
1170            PE08       33614220.037518
1175            PE08       33733507.762194
1180            PE08       33849327.262647
1185            PE08       33961521.429410
1190            PE08       34069955.380391
1195            PE08       34174505.159158
1200            PE08       34275056.665725
1205            PE08       34371502.311355
1210            PE08       34463754.060897
1215            PE08       34551735.323658
1220            PE08       34635378.533700
1225            PE08       34714629.961793
1230            PE08       34789446.279278
1235            PE08       34859798.126264
1240            PE08       34925668.791022
1245            PE08       34987047.746570
1250            PE08       35043939.030528
1255            PE08       35096363.357357
1260            PE08       35144345.815928
1265            PE08       35187926.507098
1270            PE08       35227150.905801
1275            PE08       35262077.634522
1280            PE08       35292780.794896
1285            PE08       35319337.719918
1290            PE08       35341837.945738
1295            PE08       35360379.740309
1300            PE08       35375067.357752
1305            PE08       35386021.341132
1310            PE08       35393357.998414
1315            PE08       35397216.002692
1320            PE08       35397726.962809
1325            PE08       35395040.443086
1330            PE08       35389307.926339
1335            PE08       35380683.708269
1340            PE08       35369326.200843
1345            PE08       35355409.511652
1350            PE08       35339095.513378
1355            PE08       35320565.588799
1360            PE08       35299991.148103
1365            PE08       35277553.274131
1370            PE08       35253431.149127
1375            PE08       35227807.904211
1380            PE08       35200862.211348
1385            PE08       35172773.215921
1390            PE08       35143722.148385
1395            PE08       35113891.365067
1400            PE08       35083449.177303
1405            PE08       35052575.012874
1410            PE08       35021430.756353
1415            PE08       34990186.185256
1420            PE08       34958995.926193
1425            PE08       34928016.305878
1430            PE08       34897393.177749
1435            PE08       34867266.669057
1440            PE08       34837768.903668
