TIME [min]      ID         DISTANCE [m]   
700             PG07       31164130.545110
705             PG07       31287711.554747
710             PG07       31404998.704197
715             PG07       31515836.505636
720             PG07       31620079.760276
725             PG07       31717613.279737
730             PG07       31808320.775249
735             PG07       31892123.560177
740             PG07       31968948.188857
745             PG07       32038742.356503
750             PG07       32101470.350364
755             PG07       32157116.289730
760             PG07       32205674.205031
765             PG07       32247168.474218
770             PG07       32281628.476678
775             PG07       32309109.936678
780             PG07       32329679.388853
785             PG07       32343423.789518
790             PG07       32350439.743912
795             PG07       32350850.331964
800             PG07       32344788.670893
805             PG07       32332401.149065
810             PG07       32313856.487361
815             PG07       32289330.125190
820             PG07       32259015.010961
825             PG07       32223124.446204
830             PG07       32181877.183017
835             PG07       32135509.785330
840             PG07       32084263.934696
845             PG07       32028403.079034
850             PG07       31968197.254833
855             PG07       31903927.326386
860             PG07       31835881.140900
865             PG07       31764362.153410
870             PG07       31689678.980741
875             PG07       31612145.255699
880             PG07       31532085.376175
885             PG07       31449827.810763
890             PG07       31365706.948459
895             PG07       31280061.272046
900             PG07       31193223.783677
905             PG07       31105543.416467
910             PG07       31017358.545208
915             PG07       30929015.450089
920             PG07       30840843.441561
925             PG07       30753187.830627
930             PG07       30666376.891155
935             PG07       30580736.637882
940             PG07       30496584.896134
945             PG07       30414227.324515
950             PG07       30333969.951272
955             PG07       30256096.481104
960             PG07       30180883.295988
965             PG07       30108593.398342
970             PG07       30039466.214809
975             PG07       29973737.412567
980             PG07       29911616.730523
985             PG07       29853294.425010
990             PG07       29798941.776887
995             PG07       29748706.862466
1000            PG07       29702725.139273
1005            PG07       29661096.735804
1010            PG07       29623906.877956
1015            PG07       29591212.658761
1020            PG07       29563050.152193
1025            PG07       29539424.700481
1030            PG07       29520318.121762
1035            PG07       29505696.766046
1040            PG07       29495492.456586
1045            PG07       29489615.606864
1050            PG07       29487952.183216
1055            PG07       29490368.973712
1060            PG07       29496697.808007
1065            PG07       29506764.233027
1070            PG07       29520365.611823
1075            PG07       29537278.340094
1080            PG07       29557262.398894
1085            PG07       29580060.068940
1090            PG07       29605397.884217
1095            PG07       29632985.805218
1100            PG07       29662522.722681
1105            PG07       29693692.685686
1110            PG07       29726177.111262
1115            PG07       29759636.574605
1120            PG07       29793736.759078
1125            PG07       29828129.022151
1130            PG07       29862466.224124
1135            PG07       29896394.130743
1140            PG07       29929562.555674
1145            PG07       29961617.353506
1150            PG07       29992206.136289
1155            PG07       30020987.745991
1160            PG07       30047614.042779
1165            PG07       30071751.413803
1170            PG07       30093068.374702
1175            PG07       30111246.222507
1180            PG07       30125972.501008
1185            PG07       30136947.938862
1190            PG07       30143880.434408
1195            PG07       30146497.619857
1200            PG07       30144532.301878
1205            PG07       30137739.574984
1210            PG07       30125885.838761
1215            PG07       30108753.962432
1220            PG07       30086143.212929
1225            PG07       30057870.735560
1230            PG07       30023771.009318
1235            PG07       29983698.335222
1240            PG07       29937524.438535
1245            PG07       29885134.846239
1250            PG07       29826448.028264
1255            PG07       29761391.284916
1260            PG07       29689916.128728
1265            PG07       29611992.598648
1270            PG07       29527614.031716
1275            PG07       29436793.062977
1280            PG07       29339559.636251
1285            PG07       29235969.274164
1290            PG07       29126095.845752
1295            PG07       29010036.222840
1300            PG07       28887904.868858
1305            PG07       28759837.581288
1310            PG07       28625990.754128
1315            PG07       28486535.330709
1320            PG07       28341672.921336
1325            PG07       28191618.179822
1330            PG07       28036598.665455
1335            PG07       27876865.181178
1340            PG07       27712693.838877
1345            PG07       27544365.195304
1350            PG07       27372184.745279
1355            PG07       27196471.178589
1360            PG07       27017555.511517
1365            PG07       26835787.679204
1370            PG07       26651531.090678
1375            PG07       26465153.870701
1380            PG07       26277043.336425
1385            PG07       26087597.844334
1390            PG07       25897221.003433
1395            PG07       25706326.891915
1400            PG07       25515329.481046
1405            PG07       25324657.868449
1410            PG07       25134739.495414
1415            PG07       24946003.691665
1420            PG07       24758882.186504
1425            PG07       24573803.802409
1430            PG07       24391195.002394
1435            PG07       24211476.645881
1440            PG07       24035064.896602
