TIME [min]      ID         DISTANCE [m]   
0               PE27       33564401.173067
5               PE27       33586860.555238
10              PE27       33604964.220157
15              PE27       33618552.376518
20              PE27       33627475.738078
25              PE27       33631593.671956
30              PE27       33630782.155604
35              PE27       33624927.619769
40              PE27       33613928.918490
45              PE27       33597703.756485
50              PE27       33576167.306868
55              PE27       33549267.234672
60              PE27       33516949.500529
65              PE27       33479180.244002
70              PE27       33435936.129439
75              PE27       33387208.191303
80              PE27       33332996.968209
85              PE27       33273321.959900
90              PE27       33208212.310035
95              PE27       33137708.680498
100             PE27       33061864.519417
105             PE27       32980750.533131
110             PE27       32894447.447418
115             PE27       32803045.031522
120             PE27       32706652.461031
125             PE27       32605379.695032
130             PE27       32499363.819061
135             PE27       32388737.262907
140             PE27       32273658.690776
145             PE27       32154284.823608
150             PE27       32030794.636184
155             PE27       31903366.643816
160             PE27       31772197.014454
165             PE27       31637490.539348
170             PE27       31499461.942775
175             PE27       31358324.318347
180             PE27       31214316.656538
185             PE27       31067673.725416
190             PE27       30918641.882014
195             PE27       30767470.471476
200             PE27       30614420.532653
205             PE27       30459755.256322
210             PE27       30303742.513717
215             PE27       30146657.673498
220             PE27       29988774.119145
225             PE27       29830372.066920
230             PE27       29671735.869191
235             PE27       29513142.801220
240             PE27       29354878.706653
245             PE27       29197225.753649
250             PE27       29040463.460789
255             PE27       28884870.395278
260             PE27       28730723.087390
265             PE27       28578284.170840
270             PE27       28427826.694030
275             PE27       28279606.965709
280             PE27       28133873.284267
285             PE27       27990869.858300
290             PE27       27850829.628346
295             PE27       27713975.047017
300             PE27       27580519.841335
305             PE27       27450657.138590
310             PE27       27324574.040673
315             PE27       27202444.574634
320             PE27       27084424.436565
325             PE27       26970656.656830
330             PE27       26861257.025266
335             PE27       26756341.797271
340             PE27       26655998.489169
345             PE27       26560300.462478
350             PE27       26469295.251268
355             PE27       26383025.037257
360             PE27       26301505.392830
365             PE27       26224732.501919
370             PE27       26152687.041283
375             PE27       26085330.636851
380             PE27       26022604.553734
385             PE27       25964437.430426
390             PE27       25910735.424619
395             PE27       25861391.005357
400             PE27       25816279.262876
405             PE27       25775262.228410
410             PE27       25738189.229570
415             PE27       25704889.248180
420             PE27       25675185.225986
425             PE27       25648884.289000
430             PE27       25625792.458286
435             PE27       25605699.835945
440             PE27       25588385.196616
445             PE27       25573628.841857
450             PE27       25561202.155016
455             PE27       25550872.097759
460             PE27       25542405.493133
465             PE27       25535558.740425
470             PE27       25530096.854857
475             PE27       25525783.651522
480             PE27       25522384.506849
485             PE27       25519664.183917
490             PE27       25517395.316545
495             PE27       25515353.109361
500             PE27       25513321.188012
505             PE27       25511083.312843
510             PE27       25508440.636244
515             PE27       25505195.633783
520             PE27       25501163.673910
525             PE27       25496165.198455
530             PE27       25490040.130337
535             PE27       25482628.748919
540             PE27       25473795.990068
545             PE27       25463404.428781
550             PE27       25451339.116326
555             PE27       25437500.237183
560             PE27       25421796.829394
565             PE27       25404152.585924
570             PE27       25384509.862571
575             PE27       25362815.664964
580             PE27       25339041.289673
585             PE27       25313173.446681
590             PE27       25285209.839952
595             PE27       25255164.147158
600             PE27       25223068.849995
605             PE27       25188963.819978
610             PE27       25152910.680442
615             PE27       25114992.093867
620             PE27       25075290.936616
625             PE27       25033920.368266
630             PE27       24990993.644869
635             PE27       24946654.399022
640             PE27       24901045.629700
645             PE27       24854337.045276
650             PE27       24806698.853274
655             PE27       24758326.168234
660             PE27       24709422.339694
665             PE27       24660192.227539
670             PE27       24610870.162513
675             PE27       24561688.108567
680             PE27       24512892.884265
685             PE27       24464732.688743
690             PE27       24417474.360111
695             PE27       24371383.855262
700             PE27       24326735.715026
705             PE27       24283806.773103
710             PE27       24242875.000697
715             PE27       24204230.049350
720             PE27       24168153.108690
725             PE27       24134928.192751
730             PE27       24104835.243827
735             PE27       24078154.749921
740             PE27       24055154.334745
745             PE27       24036104.983566
750             PE27       24021262.868694
755             PE27       24010877.332298
760             PE27       24005183.996427
765             PE27       24004411.099654
770             PE27       24008767.080628
775             PE27       24018445.527259
780             PE27       24033630.040525
785             PE27       24054480.363121
790             PE27       24081139.047093
795             PE27       24113728.522106
800             PE27       24152350.592931
805             PE27       24197086.337171
810             PE27       24247991.416582
815             PE27       24305103.882807
820             PE27       24368435.840239
825             PE27       24437976.001357
830             PE27       24513691.636645
835             PE27       24595526.312940
840             PE27       24683400.725573
845             PE27       24777214.065625
850             PE27       24876842.134886
855             PE27       24982138.465127
860             PE27       25092946.119784
865             PE27       25209074.297101
870             PE27       25330325.445865
875             PE27       25456476.015312
880             PE27       25587298.571246
885             PE27       25722537.872144
890             PE27       25861932.832300
895             PE27       26005207.633561
900             PE27       26152074.925533
905             PE27       26302241.795247
910             PE27       26455395.576202
915             PE27       26611233.646246
920             PE27       26769432.860177
925             PE27       26929675.411959
930             PE27       27091628.517428
935             PE27       27254971.871937
940             PE27       27419374.395014
945             PE27       27584506.293323
950             PE27       27750041.773984
955             PE27       27915656.285373
960             PE27       28081022.374511
965             PE27       28245825.230799
970             PE27       28409750.338165
975             PE27       28572490.068452
980             PE27       28733741.762885
985             PE27       28893210.677452
990             PE27       29050611.179864
995             PE27       29205661.515929
1000            PE27       29358090.117609
1005            PE27       29507640.636777
1010            PE27       29654060.012022
1015            PE27       29797107.759001
1020            PE27       29936554.452561
1025            PE27       30072178.485265
1030            PE27       30203775.177220
1035            PE27       30331148.633278
1040            PE27       30454114.981002
1045            PE27       30572501.951365
1050            PE27       30686153.776888
1055            PE27       30794920.715707
1060            PE27       30898674.961315
1065            PE27       30997290.216332
1070            PE27       31090665.757526
1075            PE27       31178707.847497
1080            PE27       31261336.834133
1085            PE27       31338486.832892
1090            PE27       31410109.746549
1095            PE27       31476163.907420
1100            PE27       31536623.616890
1105            PE27       31591484.283194
1110            PE27       31640749.057056
1115            PE27       31684435.778928
1120            PE27       31722575.805194
1125            PE27       31755215.718196
1130            PE27       31782415.741312
1135            PE27       31804252.450028
1140            PE27       31820804.562989
1145            PE27       31832180.556759
1150            PE27       31838495.475397
1155            PE27       31839870.362959
1160            PE27       31836451.698564
1165            PE27       31828391.450497
1170            PE27       31815854.181965
1175            PE27       31799020.812181
1180            PE27       31778078.132787
1185            PE27       31753233.703663
1190            PE27       31724691.862046
1195            PE27       31692684.682239
1200            PE27       31657444.035476
1205            PE27       31619214.655200
1210            PE27       31578249.916698
1215            PE27       31534813.303182
1220            PE27       31489175.600804
1225            PE27       31441616.154259
1230            PE27       31392418.910511
1235            PE27       31341876.880187
1240            PE27       31290286.928503
1245            PE27       31237950.995584
1250            PE27       31185177.939269
1255            PE27       31132266.889374
1260            PE27       31079537.508840
1265            PE27       31027298.178864
1270            PE27       30975857.793748
1275            PE27       30925528.791010
1280            PE27       30876617.019823
1285            PE27       30829426.832714
1290            PE27       30784258.091378
1295            PE27       30741405.042513
1300            PE27       30701153.215551
1305            PE27       30663782.201421
1310            PE27       30629560.247857
1315            PE27       30598747.789343
1320            PE27       30571592.518486
1325            PE27       30548330.548845
1330            PE27       30529178.769361
1335            PE27       30514348.062212
1340            PE27       30504028.216975
1345            PE27       30498391.857668
1350            PE27       30497597.489549
1355            PE27       30501783.130598
1360            PE27       30511070.787367
1365            PE27       30525554.797090
1370            PE27       30545321.007329
1375            PE27       30570428.053821
1380            PE27       30600917.421702
1385            PE27       30636804.356369
1390            PE27       30678089.862239
1395            PE27       30724752.304733
1400            PE27       30776748.559912
1405            PE27       30834014.164606
1410            PE27       30896469.052907
1415            PE27       30964011.461881
1420            PE27       31036521.168450
1425            PE27       31113859.165404
1430            PE27       31195872.320530
1435            PE27       31282387.049335
1440            PE27       31373219.361897
