TIME [s]   ID         DISTANCE [m]   
0          PG11       30818293.382918
5          PG11       30667518.137569
10         PG11       30512896.304311
15         PG11       30354725.429793
20         PG11       30193324.453095
25         PG11       30029016.949586
30         PG11       29862150.246569
35         PG11       29693083.526287
40         PG11       29522180.339396
45         PG11       29349825.838305
50         PG11       29176404.865873
55         PG11       29002319.009469
60         PG11       28827973.713998
65         PG11       28653783.576525
70         PG11       28480167.129899
75         PG11       28307547.202919
80         PG11       28136344.760232
85         PG11       27966987.333249
90         PG11       27799899.280914
95         PG11       27635500.459081
100        PG11       27474206.883301
105        PG11       27316425.452044
110        PG11       27162557.399630
115        PG11       27012989.049538
120        PG11       26868095.400053
125        PG11       26728235.871430
130        PG11       26593751.815027
135        PG11       26464963.744692
140        PG11       26342170.508410
145        PG11       26225649.671813
150        PG11       26115645.440087
155        PG11       26012383.246963
160        PG11       25916048.434809
165        PG11       25826810.224796
170        PG11       25744789.264895
175        PG11       25670085.368337
180        PG11       25602751.689057
185        PG11       25542818.293582
190        PG11       25490274.868923
195        PG11       25445073.986607
200        PG11       25407134.482685
205        PG11       25376337.028375
210        PG11       25352532.558938
215        PG11       25335540.374258
220        PG11       25325141.130903
225        PG11       25321089.036991
230        PG11       25323108.691653
235        PG11       25330896.074557
240        PG11       25344124.744475
245        PG11       25362436.959019
250        PG11       25385467.644404
255        PG11       25412823.395635
260        PG11       25444093.811190
265        PG11       25478860.492468
270        PG11       25516689.284978
275        PG11       25557140.357644
280        PG11       25599756.819514
285        PG11       25644091.647567
290        PG11       25689687.103767
295        PG11       25736086.299812
300        PG11       25782835.546900
305        PG11       25829480.064936
310        PG11       25875579.371491
315        PG11       25920691.095722
320        PG11       25964389.113981
325        PG11       26006252.776452
330        PG11       26045879.260080
335        PG11       26082867.614641
340        PG11       26116842.347022
345        PG11       26147443.119459
350        PG11       26174319.006991
355        PG11       26197137.742785
360        PG11       26215593.434304
365        PG11       26229392.683466
370        PG11       26238260.511217
375        PG11       26241946.018711
380        PG11       26240219.355942
385        PG11       26232866.584524
390        PG11       26219702.518955
395        PG11       26200564.072713
400        PG11       26175301.459841
405        PG11       26143798.356834
410        PG11       26105958.628024
415        PG11       26061706.700341
420        PG11       26010996.217574
425        PG11       25953794.383389
430        PG11       25890102.54259 
435        PG11       25819943.139118
440        PG11       25743363.055343
445        PG11       25660428.559851
450        PG11       25571237.795008
455        PG11       25475907.796001
460        PG11       25374585.112583
465        PG11       25267429.323501
470        PG11       25154638.634752
475        PG11       25036428.271624
480        PG11       24913032.049051
485        PG11       24784719.835738
490        PG11       24651777.387047
495        PG11       24514514.552171
500        PG11       24373263.902341
505        PG11       24228383.141545
510        PG11       24080249.745688
515        PG11       23929264.375022
520        PG11       23775847.935365
525        PG11       23620441.708382
530        PG11       23463508.581682
535        PG11       23305525.236252
540        PG11       23146989.288499
545        PG11       22988411.257499
550        PG11       22830325.583385
555        PG11       22673270.182076
560        PG11       22517796.426652
565        PG11       22364469.729410
570        PG11       22213856.487840
575        PG11       22066528.295955
580        PG11       21923068.183090
585        PG11       21784046.115101
590        PG11       21650036.895666
595        PG11       21521606.639445
600        PG11       21399309.705585
605        PG11       21283689.909890
610        PG11       21175270.625888
615        PG11       21074557.354139
620        PG11       20982024.450527
625        PG11       20898127.624336
630        PG11       20823286.054130
635        PG11       20757876.487584
640        PG11       20702245.597978
645        PG11       20656700.501339
650        PG11       20621492.664039
655        PG11       20596836.076401
660        PG11       20582891.975346
665        PG11       20579772.842004
670        PG11       20587535.020710
675        PG11       20606191.206008
680        PG11       20635697.649292
685        PG11       20675961.847416
690        PG11       20726841.813672
695        PG11       20788141.962519
700        PG11       20859634.199065
705        PG11       20941034.389721
710        PG11       21032026.772557
715        PG11       21132252.438002
720        PG11       21241327.320406
725        PG11       21358833.955365
730        PG11       21484323.852962
735        PG11       21617332.602070
740        PG11       21757373.027041
745        PG11       21903952.740256
750        PG11       22056558.694700
755        PG11       22214670.492257
760        PG11       22377767.50279 
765        PG11       22545327.567674
770        PG11       22716828.217873
775        PG11       22891751.532597
780        PG11       23069589.108310
785        PG11       23249832.333866
790        PG11       23431997.258574
795        PG11       23615604.218586
800        PG11       23800185.660478
805        PG11       23985296.958878
810        PG11       24170506.170012
815        PG11       24355402.421531
820        PG11       24539582.995276
825        PG11       24722681.250191
830        PG11       24904340.421735
835        PG11       25084228.576191
840        PG11       25262024.897650
845        PG11       25437446.553619
850        PG11       25610221.175105
855        PG11       25780103.149882
860        PG11       25946861.561787
865        PG11       26110293.674509
870        PG11       26270216.172946
875        PG11       26426466.117569
880        PG11       26578908.345205
885        PG11       26727421.201522
890        PG11       26871906.013878
895        PG11       27012283.736396
900        PG11       27148497.885050
905        PG11       27280510.547171
910        PG11       27408300.364917
915        PG11       27531867.492212
920        PG11       27651230.412655
925        PG11       27766424.056504
930        PG11       27877495.630075
935        PG11       27984518.340404
940        PG11       28087575.835171
945        PG11       28186760.566811
950        PG11       28282192.496703
955        PG11       28373990.433333
960        PG11       28462294.071476
965        PG11       28547255.229957
970        PG11       28629032.324627
975        PG11       28707795.780229
980        PG11       28783723.276695
985        PG11       28856997.557181
990        PG11       28927818.499169
995        PG11       28996374.665905
1000       PG11       29062876.491102
1005       PG11       29127527.460473
1010       PG11       29190533.932073
1015       PG11       29252107.223071
1020       PG11       29312456.746186
1025       PG11       29371787.299781
1030       PG11       29430306.717724
1035       PG11       29488214.368437
1040       PG11       29545713.011709
1045       PG11       29602986.306442
1050       PG11       29660221.303153
1055       PG11       29717591.641270
1060       PG11       29775269.498167
1065       PG11       29833409.306408
1070       PG11       29892159.295455
1075       PG11       29951646.097189
1080       PG11       30011995.530805
1085       PG11       30073317.008764
1090       PG11       30135700.392779
1095       PG11       30199226.733401
1100       PG11       30263955.583839
1105       PG11       30329941.169334
1110       PG11       30397203.950596
1115       PG11       30465769.701633
1120       PG11       30535629.770414
1125       PG11       30606768.190464
1130       PG11       30679145.678346
1135       PG11       30752718.168920
1140       PG11       30827412.443222
1145       PG11       30903148.712499
1150       PG11       30979821.011471
1155       PG11       31057323.470593
1160       PG11       31135516.897012
1165       PG11       31214265.730425
1170       PG11       31293411.820998
1175       PG11       31372783.849067
1180       PG11       31452203.655799
1185       PG11       31531476.867017
1190       PG11       31610403.440940
1195       PG11       31688774.840656
1200       PG11       31766363.993116
1205       PG11       31842953.437748
1210       PG11       31918306.899704
1215       PG11       31992187.768341
1220       PG11       32064356.880534
1225       PG11       32134564.773210
1230       PG11       32202566.050544
1235       PG11       32268117.879750
1240       PG11       32330969.068864
1245       PG11       32390873.635217
1250       PG11       32447588.371118
1255       PG11       32500871.317259
1260       PG11       32550485.042708
1265       PG11       32596197.565064
1270       PG11       32637782.701894
1275       PG11       32675017.130062
1280       PG11       32707689.232097
1285       PG11       32735593.969253
1290       PG11       32758539.371700
1295       PG11       32776335.666417
1300       PG11       32788811.010231
1305       PG11       32795796.295275
1310       PG11       32797142.374926
1315       PG11       32792708.942245
1320       PG11       32782369.650681
1325       PG11       32766005.094447
1330       PG11       32743521.011454
1335       PG11       32714831.187414
1340       PG11       32679864.921058
1345       PG11       32638562.508482
1350       PG11       32590891.052269
1355       PG11       32536822.336920
1360       PG11       32476347.811116
1365       PG11       32409480.248404
1370       PG11       32336244.729218
1375       PG11       32256683.858075
1380       PG11       32170858.955169
1385       PG11       32078842.692092
1390       PG11       31980735.439897
1395       PG11       31876647.318014
1400       PG11       31766708.834053
1405       PG11       31651070.438864
1410       PG11       31529888.031685
1415       PG11       31403354.631734
1420       PG11       31271661.474996
1425       PG11       31135031.888093
1430       PG11       30993699.202904
1435       PG11       30847906.752509
1440       PG11       30697927.410803
