TIME [s]   ID         DISTANCE [m]   
0          PG17       25869327.558075
5          PG17       25864388.744623
10         PG17       25864341.250908
15         PG17       25868885.166802
20         PG17       25877698.578844
25         PG17       25890439.860059
30         PG17       25906750.986498
35         PG17       25926262.342869
40         PG17       25948590.658110
45         PG17       25973331.067404
50         PG17       26000087.934001
55         PG17       26028445.936961
60         PG17       26057986.945052
65         PG17       26088290.632640
70         PG17       26118940.472223
75         PG17       26149514.626093
80         PG17       26179596.994520
85         PG17       26208777.856806
90         PG17       26236643.343202
95         PG17       26262803.171696
100        PG17       26286865.265202
105        PG17       26308454.401811
110        PG17       26327197.265810
115        PG17       26342746.324244
120        PG17       26354763.778703
125        PG17       26362924.943835
130        PG17       26366923.011851
135        PG17       26366472.394836
140        PG17       26361299.909529
145        PG17       26351155.157323
150        PG17       26335808.127784
155        PG17       26315049.732062
160        PG17       26288692.013400
165        PG17       26256567.250538
170        PG17       26218528.939382
175        PG17       26174464.130873
180        PG17       26124264.880937
185        PG17       26067866.800482
190        PG17       26005218.353689
195        PG17       25936296.722456
200        PG17       25861096.263516
205        PG17       25779650.004750
210        PG17       25692004.560273
215        PG17       25598239.201885
220        PG17       25498456.037730
225        PG17       25392781.680383
230        PG17       25281373.039943
235        PG17       25164404.972036
240        PG17       25042084.424669
245        PG17       24914647.501193
250        PG17       24782343.745063
255        PG17       24645457.990319
260        PG17       24504300.877249
265        PG17       24359197.802644
270        PG17       24210505.819681
275        PG17       24058605.440823
280        PG17       23903901.882738
285        PG17       23746817.916766
290        PG17       23587799.164896
295        PG17       23427315.049095
300        PG17       23265853.515907
305        PG17       23103915.411521
310        PG17       22942025.747899
315        PG17       22780720.264079
320        PG17       22620552.014767
325        PG17       22462084.432328
330        PG17       22305885.074297
335        PG17       22152537.007174
340        PG17       22002623.516157
345        PG17       21856728.965109
350        PG17       21715438.469237
355        PG17       21579328.423439
360        PG17       21448972.496093
365        PG17       21324933.569806
370        PG17       21207750.797512
375        PG17       21097954.756908
380        PG17       20996048.654230
385        PG17       20902505.265519
390        PG17       20817776.103857
395        PG17       20742267.698352
400        PG17       20676358.608500
405        PG17       20620381.958488
410        PG17       20574626.234908
415        PG17       20539334.984519
420        PG17       20514705.857391
425        PG17       20500876.391354
430        PG17       20497945.488604
435        PG17       20505951.663919
440        PG17       20524882.826471
445        PG17       20554675.854502
450        PG17       20595214.241658
455        PG17       20646334.601787
460        PG17       20707827.013613
465        PG17       20779434.200228
470        PG17       20860852.127870
475        PG17       20951749.805342
480        PG17       21051752.838632
485        PG17       21160454.825010
490        PG17       21277418.724114
495        PG17       21402191.851356
500        PG17       21534293.980106
505        PG17       21673233.050861
510        PG17       21818491.449176
515        PG17       21969561.756526
520        PG17       22125914.026795
525        PG17       22287023.737514
530        PG17       22452358.648585
535        PG17       22621402.281561
540        PG17       22793632.400317
545        PG17       22968539.213606
550        PG17       23145617.035025
555        PG17       23324381.366235
560        PG17       23504354.179297
565        PG17       23685074.075565
570        PG17       23866092.870643
575        PG17       24046985.639014
580        PG17       24227341.307040
585        PG17       24406768.526137
590        PG17       24584895.707669
595        PG17       24761371.510448
600        PG17       24935865.335652
605        PG17       25108066.311995
610        PG17       25277683.162890
615        PG17       25444449.829051
620        PG17       25608123.846717
625        PG17       25768473.917326
630        PG17       25925301.467593
635        PG17       26078424.361404
640        PG17       26227675.168278
645        PG17       26372921.414958
650        PG17       26514037.255375
655        PG17       26650928.197056
660        PG17       26783516.520389
665        PG17       26911740.768020
670        PG17       27035564.147770
675        PG17       27154966.727214
680        PG17       27269946.760074
685        PG17       27380525.156110
690        PG17       27486733.108075
695        PG17       27588622.407605
700        PG17       27686267.896334
705        PG17       27779755.014922
710        PG17       27869183.350776
715        PG17       27954672.894439
720        PG17       28036348.186929
725        PG17       28114361.888804
730        PG17       28188868.329862
735        PG17       28260040.037227
740        PG17       28328051.637222
745        PG17       28393099.954574
750        PG17       28455385.507297
755        PG17       28515117.007953
760        PG17       28572509.584461
765        PG17       28627784.134703
770        PG17       28681172.604527
775        PG17       28732904.838138
780        PG17       28783217.885413
785        PG17       28832347.816341
790        PG17       28880529.818841
795        PG17       28928001.074146
800        PG17       28974995.350220
805        PG17       29021746.049065
810        PG17       29068478.073199
815        PG17       29115412.196318
820        PG17       29162762.015014
825        PG17       29210732.628047
830        PG17       29259518.906926
835        PG17       29309306.044029
840        PG17       29360267.043424
845        PG17       29412562.205636
850        PG17       29466337.106994
855        PG17       29521723.531730
860        PG17       29578835.050395
865        PG17       29637771.793535
870        PG17       29698616.014288
875        PG17       29761428.479421
880        PG17       29826256.977750
885        PG17       29893130.746304
890        PG17       29962048.588923
895        PG17       30033006.682847
900        PG17       30105976.252376
905        PG17       30180899.794311
910        PG17       30257714.835663
915        PG17       30336330.375898
920        PG17       30416646.526327
925        PG17       30498532.979974
930        PG17       30581857.955848
935        PG17       30666465.515837
940        PG17       30752175.371127
945        PG17       30838810.192092
950        PG17       30926169.472709
955        PG17       31014034.698875
960        PG17       31102189.355049
965        PG17       31190396.817582
970        PG17       31278414.048898
975        PG17       31365988.331637
980        PG17       31452862.807879
985        PG17       31538773.37371 
990        PG17       31623451.114476
995        PG17       31706623.240718
1000       PG17       31788018.453625
1005       PG17       31867363.347858
1010       PG17       31944380.032636
1015       PG17       32018794.116894
1020       PG17       32090342.467694
1025       PG17       32158756.542513
1030       PG17       32223772.729389
1035       PG17       32285137.712531
1040       PG17       32342603.458766
1045       PG17       32395926.940639
1050       PG17       32444877.158307
1055       PG17       32489230.090086
1060       PG17       32528775.295368
1065       PG17       32563307.821883
1070       PG17       32592642.701370
1075       PG17       32616599.039447
1080       PG17       32635011.847871
1085       PG17       32647731.429901
1090       PG17       32654622.165065
1095       PG17       32655562.427092
1100       PG17       32650438.815971
1105       PG17       32639168.078997
1110       PG17       32621664.073994
1115       PG17       32597877.02662 
1120       PG17       32567751.944498
1125       PG17       32531270.457965
1130       PG17       32488416.001459
1135       PG17       32439197.628563
1140       PG17       32383635.774169
1145       PG17       32321774.712409
1150       PG17       32253662.743346
1155       PG17       32179378.969272
1160       PG17       32099016.807596
1165       PG17       32012677.741891
1170       PG17       31920492.289249
1175       PG17       31822597.807398
1180       PG17       31719153.887217
1185       PG17       31610335.573399
1190       PG17       31496330.197150
1195       PG17       31377347.016448
1200       PG17       31253607.994902
1205       PG17       31125344.647544
1210       PG17       30992814.459457
1215       PG17       30856279.401957
1220       PG17       30716022.527950
1225       PG17       30572330.667502
1230       PG17       30425514.813912
1235       PG17       30275891.273113
1240       PG17       30123784.470825
1245       PG17       29969539.593914
1250       PG17       29813497.672961
1255       PG17       29656021.645455
1260       PG17       29497471.105365
1265       PG17       29338222.400639
1270       PG17       29178646.117012
1275       PG17       29019129.945979
1280       PG17       28860058.104366
1285       PG17       28701807.037890
1290       PG17       28544772.596678
1295       PG17       28389337.877740
1300       PG17       28235877.279723
1305       PG17       28084776.222354
1310       PG17       27936406.498197
1315       PG17       27791122.751983
1320       PG17       27649287.385800
1325       PG17       27511241.972067
1330       PG17       27377312.881849
1335       PG17       27247811.907337
1340       PG17       27123044.596039
1345       PG17       27003281.701293
1350       PG17       26888786.699397
1355       PG17       26779795.179843
1360       PG17       26676518.695041
1365       PG17       26579149.103687
1370       PG17       26487843.227644
1375       PG17       26402737.247278
1380       PG17       26323940.417016
1385       PG17       26251523.957333
1390       PG17       26185533.709715
1395       PG17       26125985.168648
1400       PG17       26072865.812599
1405       PG17       26026126.729936
1410       PG17       25985690.629782
1415       PG17       25951447.249668
1420       PG17       25923259.219091
1425       PG17       25900959.081172
1430       PG17       25884350.071975
1435       PG17       25873210.212096
1440       PG17       25867287.025032
