TIME [min]      ID         DISTANCE [m]   
515             PE09       35491781.336762
520             PE09       35460438.329232
525             PE09       35424410.840495
530             PE09       35383805.700706
535             PE09       35338745.806494
540             PE09       35289357.588276
545             PE09       35235795.088194
550             PE09       35178202.747497
555             PE09       35116752.219543
560             PE09       35051617.826534
565             PE09       34982986.339739
570             PE09       34911054.047838
575             PE09       34836026.905013
580             PE09       34758123.084428
585             PE09       34677557.014670
590             PE09       34594570.239455
595             PE09       34509401.625245
600             PE09       34422292.601494
605             PE09       34333502.414449
610             PE09       34243287.376154
615             PE09       34151914.704576
620             PE09       34059654.253254
625             PE09       33966777.676109
630             PE09       33873562.656045
635             PE09       33780288.141485
640             PE09       33687234.976654
645             PE09       33594682.021426
650             PE09       33502911.063469
655             PE09       33412202.126763
660             PE09       33322831.98515 
665             PE09       33235075.431186
670             PE09       33149197.379630
675             PE09       33065466.501546
680             PE09       32984137.191334
685             PE09       32905464.729814
690             PE09       32829684.837176
695             PE09       32757034.184339
700             PE09       32687734.008412
705             PE09       32621997.776437
710             PE09       32560015.171592
715             PE09       32501980.271935
720             PE09       32448055.679593
725             PE09       32398403.862506
730             PE09       32353161.248703
735             PE09       32312449.026997
740             PE09       32276379.947957
745             PE09       32245035.259143
750             PE09       32218487.119633
755             PE09       32196789.751840
760             PE09       32179974.345149
765             PE09       32168055.774412
770             PE09       32161029.412432
775             PE09       32158864.782274
780             PE09       32161526.505741
785             PE09       32168949.482309
790             PE09       32181054.179735
795             PE09       32197741.247562
800             PE09       32218891.751685
805             PE09       32244373.947738
810             PE09       32274041.931330
815             PE09       32307721.447362
820             PE09       32345243.297283
825             PE09       32386400.661509
830             PE09       32430994.724577
835             PE09       32478804.139164
840             PE09       32529592.223412
845             PE09       32583125.132862
850             PE09       32639144.742919
855             PE09       32697391.057015
860             PE09       32757605.266762
865             PE09       32819510.176550
870             PE09       32882823.530296
875             PE09       32947271.460281
880             PE09       33012564.848021
885             PE09       33078417.759383
890             PE09       33144542.385383
895             PE09       33210653.471032
900             PE09       33276457.583848
905             PE09       33341672.160592
910             PE09       33406012.574221
915             PE09       33469204.344919
920             PE09       33530972.079255
925             PE09       33591038.130295
930             PE09       33649144.122548
935             PE09       33705031.303901
940             PE09       33758447.766472
945             PE09       33809150.486303
950             PE09       33856901.110635
955             PE09       33901476.294803
960             PE09       33942657.067276
965             PE09       33980233.773110
970             PE09       34014010.286486
975             PE09       34043798.067030
980             PE09       34069422.721834
985             PE09       34090710.879652
990             PE09       34107513.861624
995             PE09       34119688.422637
1000            PE09       34127100.723639
1005            PE09       34129632.601977
1010            PE09       34127177.633075
1015            PE09       34119640.069161
1020            PE09       34106940.030588
1025            PE09       34089000.074020
1030            PE09       34065770.814504
1035            PE09       34037205.055563
1040            PE09       34003270.794475
1045            PE09       33963949.122759
1050            PE09       33919235.031955
1055            PE09       33869129.393532
1060            PE09       33813658.018741
1065            PE09       33752847.207789
1070            PE09       33686743.034178
1075            PE09       33615404.299504
1080            PE09       33538891.659360
1085            PE09       33457294.585879
1090            PE09       33370699.512956
1095            PE09       33279215.062066
1100            PE09       33182954.263365
1105            PE09       33082044.798064
1110            PE09       32976626.811959
1115            PE09       32866843.696864
1120            PE09       32752860.056181
1125            PE09       32634846.948356
1130            PE09       32512975.285708
1135            PE09       32387442.120411
1140            PE09       32258441.279042
1145            PE09       32126180.515715
1150            PE09       31990874.493784
1155            PE09       31852744.676972
1160            PE09       31712021.677901
1165            PE09       31568938.792575
1170            PE09       31423741.511816
1175            PE09       31276675.072221
1180            PE09       31127993.704797
1185            PE09       30977955.289954
1190            PE09       30826817.269647
1195            PE09       30674839.283836
1200            PE09       30522293.822654
1205            PE09       30369445.542117
1210            PE09       30216557.136881
1215            PE09       30063900.367867
1220            PE09       29911735.455952
1225            PE09       29760329.009645
1230            PE09       29609941.121594
1235            PE09       29460826.527123
1240            PE09       29313238.820216
1245            PE09       29167422.696245
1250            PE09       29023615.717865
1255            PE09       28882053.255378
1260            PE09       28742954.161194
1265            PE09       28606534.692523
1270            PE09       28472997.590688
1275            PE09       28342535.60794 
1280            PE09       28215330.9395  
1285            PE09       28091544.120038
1290            PE09       27971336.470345
1295            PE09       27854842.535294
1300            PE09       27742187.884683
1305            PE09       27633479.324112
1310            PE09       27528815.974448
1315            PE09       27428273.728959
1320            PE09       27331904.963310
1325            PE09       27239758.825176
1330            PE09       27151861.075190
1335            PE09       27068218.246562
1340            PE09       26988824.91177 
1345            PE09       26913647.669915
1350            PE09       26842650.890722
1355            PE09       26775772.587916
1360            PE09       26712938.374975
1365            PE09       26654055.331323
1370            PE09       26599017.252477
1375            PE09       26547704.523953
1380            PE09       26499981.844330
1385            PE09       26455705.830970
1390            PE09       26414707.412346
1395            PE09       26376825.552603
1400            PE09       26341878.534607
1405            PE09       26309670.181173
1410            PE09       26280009.736294
1415            PE09       26252689.903510
1420            PE09       26227501.780329
1425            PE09       26204226.484962
1430            PE09       26182648.316047
1435            PE09       26162545.961023
1440            PE09       26143695.079507
