TIME [s]   DISTANCE [m]   
0          31116748.7729763    
900        30767559.2167073    
1800       30364368.1864327    
2700       29913253.6893099    
3600       29421458.6637637    
4500       28897240.1832048    
5400       28349691.7831183    
6300       27788526.5074334    
7200       27223810.1810488    
8100       26665687.6798708    
9000       26124015.9244177    
9900       25608021.6610625    
10800      25125913.5455475    
11700      24684518.1255501    
12600      24288942.4208684    
13500      23942345.809521     
14400      23645765.186046     
15300      23398110.3032853    
16200      23196296.3568317    
17100      23035476.5820128    
18000      22909416.8826035    
18900      22810942.8394956    
19800      22732409.6767658    
20700      22666188.3075819    
21600      22605116.7709286    
22500      22542895.748188     
23400      22474443.8737326    
24300      22396145.6029453    
25200      22306051.3861359    
26100      22204032.9003744    
27000      22091798.3726645    
27900      21972922.6503731    
28800      21852730.8199898    
29700      21738119.2728205    
30600      21637318.3295133    
31500      21559494.6913915    
32400      21514302.7417644    
33300      21511334.4116771    
34200      21559500.8224547    
35100      21666423.2977055    
36000      21837846.6732371    
36900      22077178.2616593    
37800      22385183.2903319    
38700      22759887.2279341    
39600      23196667.5864237    
40500      23688542.1661036    
41400      24226578.9025175    
42300      24800371.8509901    
43200      25398555.3023827    
44100      26009283.3230026    
45000      26620668.5092065    
45900      27221158.0395993    
46800      27799853.9877095    
47700      28346747.6473371    
48600      28852923.549333     
49500      29310728.7848146    
50400      29713872.4923014    
51300      30057523.4217607    
52200      30338372.6740129    
53100      30554676.7965792    
54000      30706278.2978095    
54900      30794606.9122995    
55800      30822662.7699086    
56700      30794965.7951933    
57600      30717484.7946884    
58500      30597514.5057961    
59400      30443553.1433072    
60300      30265078.8099093    
61200      30072306.3691086    
62100      29875901.3754233    
63000      29686604.8132527    
63900      29514843.1923228    
64800      29370293.7993008    
65700      29261443.2144002    
66600      29195173.2989945    
67500      29176405.6638566    
68400      29207815.8634854    
69300      29289715.9169249    
70200      29420015.2928284    
71100      29594360.3884468    
72000      29806373.3816409    
72900      30048002.6446826    
73800      30309927.7729973    
74700      30581974.8944316    
75600      30853565.0113299    
76500      31114101.2019019    
77400      31353332.2006469    
78300      31561645.2265888    
79200      31730335.1697522    
80100      31851790.1554727    
81000      31919651.9908968    
81900      31928926.5382669    
82800      31876063.8315582    
83700      31758988.4235341    
84600      31577139.6871763    
85500      31331454.5008356    
