TIME [min]      ID         DISTANCE [m]   
985             PG24       26482416.142911
990             PG24       26465234.275502
995             PG24       26443596.350567
1000            PG24       26417800.485253
1005            PG24       26388155.007407
1010            PG24       26354990.252041
1015            PG24       26318653.451297
1020            PG24       26279503.847805
1025            PG24       26237928.945554
1030            PG24       26194314.657660
1035            PG24       26149069.300644
1040            PG24       26102617.349750
1045            PG24       26055384.550921
1050            PG24       26007811.321157
1055            PG24       25960347.739809
1060            PG24       25913445.442869
1065            PG24       25867562.820726
1070            PG24       25823157.548434
1075            PG24       25780689.816329
1080            PG24       25740616.142946
1085            PG24       25703390.690426
1090            PG24       25669460.173014
1095            PG24       25639255.714187
1100            PG24       25613206.645385
1105            PG24       25591721.203499
1110            PG24       25575193.247031
1115            PG24       25563995.976579
1120            PG24       25558481.934696
1125            PG24       25558980.116331
1130            PG24       25565788.276611
1135            PG24       25579183.770089
1140            PG24       25599408.316699
1145            PG24       25626674.632591
1150            PG24       25661155.416501
1155            PG24       25702998.523055
1160            PG24       25752309.402394
1165            PG24       25809160.474898
1170            PG24       25873581.871291
1175            PG24       25945575.604557
1180            PG24       26025100.386436
1185            PG24       26112080.734539
1190            PG24       26206408.913928
1195            PG24       26307931.923856
1200            PG24       26416477.317894
1205            PG24       26531834.757081
1210            PG24       26653762.884657
1215            PG24       26781993.423521
1220            PG24       26916235.017955
1225            PG24       27056159.538669
1230            PG24       27201438.963786
1235            PG24       27351701.850114
1240            PG24       27506578.316816
1245            PG24       27665675.903564
1250            PG24       27828584.058267
1255            PG24       27994893.64492 
1260            PG24       28164177.722682
1265            PG24       28336007.832609
1270            PG24       28509953.575969
1275            PG24       28685571.520816
1280            PG24       28862433.936239
1285            PG24       29040105.188230
1290            PG24       29218157.977437
1295            PG24       29396159.194923
1300            PG24       29573698.029419
1305            PG24       29750364.480604
1310            PG24       29925750.360796
1315            PG24       30099468.469288
1320            PG24       30271140.048067
1325            PG24       30440395.958998
1330            PG24       30606881.965163
1335            PG24       30770256.742581
1340            PG24       30930193.213347
1345            PG24       31086379.420856
1350            PG24       31238517.940949
1355            PG24       31386335.149033
1360            PG24       31529556.286523
1365            PG24       31667941.195579
1370            PG24       31801257.650340
1375            PG24       31929291.295039
1380            PG24       32051843.893055
1385            PG24       32168736.568650
1390            PG24       32279808.727625
1395            PG24       32384905.929005
1400            PG24       32483907.960052
1405            PG24       32576700.010034
1410            PG24       32663185.675109
1415            PG24       32743287.950516
1420            PG24       32816942.821746
1425            PG24       32884107.310540
1430            PG24       32944748.978964
1435            PG24       32998849.659049
1440            PG24       33046418.918506
