TIME [s]   ID         DISTANCE [m]   
0          PE19       34712717.963832
5          PE19       34703832.307039
10         PE19       34694967.702813
15         PE19       34686278.117048
20         PE19       34677910.472949
25         PE19       34670001.971272
30         PE19       34662685.583998
35         PE19       34656089.024597
40         PE19       34650328.292677
45         PE19       34645507.931243
50         PE19       34641732.071714
55         PE19       34639079.426445
60         PE19       34637638.358238
65         PE19       34637470.703536
70         PE19       34638634.950827
75         PE19       34641177.733693
80         PE19       34645133.122133
85         PE19       34650523.537962
90         PE19       34657361.511441
95         PE19       34665649.463175
100        PE19       34675366.845090
105        PE19       34686499.109129
110        PE19       34699010.648760
115        PE19       34712849.515636
120        PE19       34727964.474400
125        PE19       34744287.680371
130        PE19       34761735.323633
135        PE19       34780221.719285
140        PE19       34799648.162004
145        PE19       34819906.504274
150        PE19       34840881.837572
155        PE19       34862443.512106
160        PE19       34884463.960853
165        PE19       34906797.376041
170        PE19       34929300.082586
175        PE19       34951817.389900
180        PE19       34974189.742533
185        PE19       34996253.145623
190        PE19       35017839.606369
195        PE19       35038777.735183
200        PE19       35058893.306522
205        PE19       35078005.836410
210        PE19       35095941.635304
215        PE19       35112520.966840
220        PE19       35127559.555727
225        PE19       35140880.309194
230        PE19       35152308.809983
235        PE19       35161669.087641
240        PE19       35168779.469183
245        PE19       35173477.515418
250        PE19       35175596.762137
255        PE19       35174966.413964
260        PE19       35171434.056976
265        PE19       35164846.952987
270        PE19       35155059.865485
275        PE19       35141925.019342
280        PE19       35125317.422431
285        PE19       35105107.070140
290        PE19       35081175.902070
295        PE19       35053410.755574
300        PE19       35021715.512757
305        PE19       34985996.311018
310        PE19       34946170.559214
315        PE19       34902159.895866
320        PE19       34853907.122145
325        PE19       34801357.657606
330        PE19       34744469.055714
335        PE19       34683210.334782
340        PE19       34617559.758919
345        PE19       34547513.117045
350        PE19       34473064.889991
355        PE19       34394237.854631
360        PE19       34311052.840953
365        PE19       34223550.341475
370        PE19       34131780.915874
375        PE19       34035806.411666
380        PE19       33935701.405802
385        PE19       33831552.872241
390        PE19       33723454.945454
395        PE19       33611525.238739
400        PE19       33495883.894785
405        PE19       33376666.793349
410        PE19       33254020.514368
415        PE19       33128103.540130
420        PE19       32999088.672935
425        PE19       32867149.777891
430        PE19       32732487.456333
435        PE19       32595304.289310
440        PE19       32455809.221880
445        PE19       32314230.887196
450        PE19       32170802.885801
455        PE19       32025765.685403
460        PE19       31879374.040714
465        PE19       31731886.283306
470        PE19       31583570.635036
475        PE19       31434702.501359
480        PE19       31285562.863725
485        PE19       31136439.706900
490        PE19       30987621.564169
495        PE19       30839407.747975
500        PE19       30692095.186426
505        PE19       30545986.312471
510        PE19       30401382.156673
515        PE19       30258585.750274
520        PE19       30117899.005425
525        PE19       29979621.173465
530        PE19       29844048.090673
535        PE19       29711473.407762
540        PE19       29582181.184630
545        PE19       29456451.644256
550        PE19       29334556.637761
555        PE19       29216757.649564
560        PE19       29103305.475805
565        PE19       28994440.181163
570        PE19       28890387.287732
575        PE19       28791358.790392
580        PE19       28697545.205887
585        PE19       28609133.084754
590        PE19       28526281.802320
595        PE19       28449131.539348
600        PE19       28377804.956286
605        PE19       28312410.231406
610        PE19       28253020.686915
615        PE19       28199696.339712
620        PE19       28152478.939833
625        PE19       28111381.446734
630        PE19       28076396.693542
635        PE19       28047489.425288
640        PE19       28024607.778832
645        PE19       28007676.655613
650        PE19       27996598.483300
655        PE19       27991245.384757
660        PE19       27991482.938540
665        PE19       27997146.494350
670        PE19       28008054.476233
675        PE19       28024003.313913
680        PE19       28044777.597817
685        PE19       28070142.087425
690        PE19       28099842.494561
695        PE19       28133616.672646
700        PE19       28171185.884576
705        PE19       28212260.146521
710        PE19       28256539.195176
715        PE19       28303711.952094
720        PE19       28353464.171010
725        PE19       28405468.495068
730        PE19       28459398.890085
735        PE19       28514923.197465
740        PE19       28571703.009789
745        PE19       28629405.983235
750        PE19       28687694.354007
755        PE19       28746227.946564
760        PE19       28804680.791802
765        PE19       28862718.467587
770        PE19       28920018.013915
775        PE19       28976254.263009
780        PE19       29031115.494698
785        PE19       29084293.523295
790        PE19       29135489.257676
795        PE19       29184412.987142
800        PE19       29230773.740706
805        PE19       29274307.612963
810        PE19       29314748.696780
815        PE19       29351846.477344
820        PE19       29385360.186098
825        PE19       29415061.921879
830        PE19       29440735.775719
835        PE19       29462179.165210
840        PE19       29479199.989067
845        PE19       29491623.115573
850        PE19       29499285.272545
855        PE19       29502035.386329
860        PE19       29499740.141030
865        PE19       29492279.515392
870        PE19       29479543.49057 
875        PE19       29461442.907863
880        PE19       29437895.594305
885        PE19       29408847.553086
890        PE19       29374247.125478
895        PE19       29334062.315461
900        PE19       29288277.310914
905        PE19       29236884.785284
910        PE19       29179907.189836
915        PE19       29117365.001029
920        PE19       29049308.759653
925        PE19       28975789.125843
930        PE19       28896887.246074
935        PE19       28812687.577595
940        PE19       28723299.205269
945        PE19       28628834.943005
950        PE19       28529429.190998
955        PE19       28425234.781131
960        PE19       28316411.170406
965        PE19       28203137.480927
970        PE19       28085604.973074
975        PE19       27964013.505251
980        PE19       27838589.422384
985        PE19       27709563.473200
990        PE19       27577178.799637
995        PE19       27441694.105516
1000       PE19       27303382.117897
1005       PE19       27162523.980389
1010       PE19       27019414.986959
1015       PE19       26874358.192177
1020       PE19       26727673.213067
1025       PE19       26579678.139742
1030       PE19       26430715.379737
1035       PE19       26281121.544673
1040       PE19       26131251.799612
1045       PE19       25981462.628767
1050       PE19       25832112.760144
1055       PE19       25683574.035448
1060       PE19       25536216.389261
1065       PE19       25390415.558390
1070       PE19       25246544.493950
1075       PE19       25104980.460340
1080       PE19       24966099.774119
1085       PE19       24830267.772859
1090       PE19       24697853.412778
1095       PE19       24569219.522801
1100       PE19       24444721.199795
1105       PE19       24324698.195072
1110       PE19       24209490.411180
1115       PE19       24099415.689357
1120       PE19       23994781.840051
1125       PE19       23895885.921392
1130       PE19       23802992.304021
1135       PE19       23716365.579189
1140       PE19       23636238.571102
1145       PE19       23562826.104783
1150       PE19       23496310.905522
1155       PE19       23436866.669662
1160       PE19       23384634.085287
1165       PE19       23339722.851354
1170       PE19       23302220.218279
1175       PE19       23272192.115366
1180       PE19       23249663.5393  
1185       PE19       23234643.157355
1190       PE19       23227107.003528
1195       PE19       23227003.163730
1200       PE19       23234253.416559
1205       PE19       23248751.431118
1210       PE19       23270370.363463
1215       PE19       23298954.335322
1220       PE19       23334325.553476
1225       PE19       23376284.419845
1230       PE19       23424611.037418
1235       PE19       23479066.939052
1240       PE19       23539394.818012
1245       PE19       23605323.461534
1250       PE19       23676569.190850
1255       PE19       23752830.52749 
1260       PE19       23833799.389880
1265       PE19       23919166.079193
1270       PE19       24008606.798214
1275       PE19       24101786.293479
1280       PE19       24198382.897241
1285       PE19       24298061.83608 
1290       PE19       24400492.968463
1295       PE19       24505340.067727
1300       PE19       24612277.296739
1305       PE19       24720985.950359
1310       PE19       24831142.155082
1315       PE19       24942438.871240
1320       PE19       25054570.109788
1325       PE19       25167240.980377
1330       PE19       25280166.819016
1335       PE19       25393072.890316
1340       PE19       25505692.339343
1345       PE19       25617777.702667
1350       PE19       25729083.493785
1355       PE19       25839382.820565
1360       PE19       25948468.313776
1365       PE19       26056132.538135
1370       PE19       26162191.018784
1375       PE19       26266474.400062
1380       PE19       26368823.436453
1385       PE19       26469097.525907
1390       PE19       26567165.358498
1395       PE19       26662914.350347
1400       PE19       26756249.184720
1405       PE19       26847084.257524
1410       PE19       26935351.359021
1415       PE19       27020998.517681
1420       PE19       27103985.115401
1425       PE19       27184288.914736
1430       PE19       27261896.326110
1435       PE19       27336815.143504
1440       PE19       27409064.626915
