TIME [min]      ID         DISTANCE [m]   
0               PG13       31412903.029728
5               PG13       31327426.433205
10              PG13       31242064.229417
15              PG13       31156979.742359
20              PG13       31072326.636909
25              PG13       30988246.651901
30              PG13       30904867.630052
35              PG13       30822303.610062
40              PG13       30740650.960870
45              PG13       30659995.386928
50              PG13       30580405.415260
55              PG13       30501931.834103
60              PG13       30424609.410187
65              PG13       30348461.387586
70              PG13       30273488.871698
75              PG13       30199681.224488
80              PG13       30127013.271617
85              PG13       30055432.26159 
90              PG13       29984886.531162
95              PG13       29915299.719464
100             PG13       29846583.101777
105             PG13       29778633.919523
110             PG13       29711336.272661
115             PG13       29644563.050174
120             PG13       29578171.927436
125             PG13       29512015.083454
130             PG13       29445928.994724
135             PG13       29379742.415554
140             PG13       29313283.514367
145             PG13       29246365.862386
150             PG13       29178802.396852
155             PG13       29110390.715416
160             PG13       29040940.868476
165             PG13       28970252.688944
170             PG13       28898120.092213
175             PG13       28824348.363398
180             PG13       28748733.225866
185             PG13       28671081.379342
190             PG13       28591197.677740
195             PG13       28508897.836335
200             PG13       28423990.499311
205             PG13       28336307.596152
210             PG13       28245681.287341
215             PG13       28151952.111131
220             PG13       28054971.649319
225             PG13       27954605.313498
230             PG13       27850725.830614
235             PG13       27743223.676865
240             PG13       27632001.889547
245             PG13       27516977.940575
250             PG13       27398082.240055
255             PG13       27275266.594325
260             PG13       27148495.468668
265             PG13       27017754.473546
270             PG13       26883046.142428
275             PG13       26744390.094244
280             PG13       26601828.749519
285             PG13       26455423.710866
290             PG13       26305253.273970
295             PG13       26151425.356549
300             PG13       25994057.781773
305             PG13       25833297.005508
310             PG13       25669312.601240
315             PG13       25502293.154307
320             PG13       25332447.601314
325             PG13       25160012.356320
330             PG13       24985239.654162
335             PG13       24808409.236793
340             PG13       24629820.918680
345             PG13       24449795.033779
350             PG13       24268675.409497
355             PG13       24086823.789698
360             PG13       23904627.917014
365             PG13       23722483.297528
370             PG13       23540817.649202
375             PG13       23360068.952565
380             PG13       23180694.662717
385             PG13       23003158.872547
390             PG13       22827953.999762
395             PG13       22655568.884976
400             PG13       22486513.705858
405             PG13       22321297.374608
410             PG13       22160440.006768
415             PG13       22004460.785889
420             PG13       21853880.494097
425             PG13       21709211.702995
430             PG13       21570966.348657
435             PG13       21439643.231842
440             PG13       21315728.696926
445             PG13       21199686.706613
450             PG13       21091967.358404
455             PG13       20992990.198625
460             PG13       20903150.740081
465             PG13       20822806.650145
470             PG13       20752285.615423
475             PG13       20691871.687006
480             PG13       20641810.393398
485             PG13       20602303.198392
490             PG13       20573496.205812
495             PG13       20555496.470281
500             PG13       20548360.417830
505             PG13       20552091.729166
510             PG13       20566636.919558
515             PG13       20591900.403119
520             PG13       20627730.928423
525             PG13       20673937.179048
530             PG13       20730269.427190
535             PG13       20796443.962145
540             PG13       20872122.298955
545             PG13       20956941.112299
550             PG13       21050488.925905
555             PG13       21152331.654305
560             PG13       21262000.935012
565             PG13       21379000.800058
570             PG13       21502819.986555
575             PG13       21632923.704350
580             PG13       21768766.778671
585             PG13       21909789.801283
590             PG13       22055430.407277
595             PG13       22205111.612435
600             PG13       22358265.325776
605             PG13       22514325.323758
610             PG13       22672716.234786
615             PG13       22832883.656163
620             PG13       22994275.924015
625             PG13       23156345.418965
630             PG13       23318568.849054
635             PG13       23480424.813219
640             PG13       23641414.829437
645             PG13       23801051.829471
650             PG13       23958870.645386
655             PG13       24114422.186326
660             PG13       24267271.751408
665             PG13       24417009.366829
670             PG13       24563250.495912
675             PG13       24705625.685924
680             PG13       24843779.593096
685             PG13       24977395.617742
690             PG13       25106168.209477
695             PG13       25229815.097379
700             PG13       25348082.939650
705             PG13       25460728.180912
710             PG13       25567547.388650
715             PG13       25668349.00925 
720             PG13       25762970.265074
725             PG13       25851266.565022
730             PG13       25933119.459815
735             PG13       26008437.576189
740             PG13       26077152.483450
745             PG13       26139207.570326
750             PG13       26194588.423198
755             PG13       26243292.182888
760             PG13       26285342.779134
765             PG13       26320786.804172
770             PG13       26349694.663166
775             PG13       26372161.191623
780             PG13       26388302.767310
785             PG13       26398259.989121
790             PG13       26402195.336969
795             PG13       26400291.962603
800             PG13       26392762.526966
805             PG13       26379830.368042
810             PG13       26361748.082892
815             PG13       26338790.813313
820             PG13       26311251.325401
825             PG13       26279434.643018
830             PG13       26243679.932153
835             PG13       26204336.603819
840             PG13       26161772.905244
845             PG13       26116369.578764
850             PG13       26068535.348391
855             PG13       26018677.948499
860             PG13       25967229.634274
865             PG13       25914632.207472
870             PG13       25861336.094866
875             PG13       25807806.434226
880             PG13       25754501.992805
885             PG13       25701903.390641
890             PG13       25650485.798585
895             PG13       25600726.832724
900             PG13       25553106.099362
905             PG13       25508093.066394
910             PG13       25466155.150883
915             PG13       25427758.363889
920             PG13       25393349.614353
925             PG13       25363363.956178
930             PG13       25338224.288681
935             PG13       25318332.077872
940             PG13       25304066.657028
945             PG13       25295787.938427
950             PG13       25293828.378325
955             PG13       25298492.453298
960             PG13       25310050.591637
965             PG13       25328749.473722
970             PG13       25354794.977314
975             PG13       25388362.680882
980             PG13       25429586.127049
985             PG13       25478568.249177
990             PG13       25535370.205849
995             PG13       25600016.096471
1000            PG13       25672492.606971
1005            PG13       25752745.595826
1010            PG13       25840687.985372
1015            PG13       25936194.150947
1020            PG13       26039103.079310
1025            PG13       26149222.241076
1030            PG13       26266323.193942
1035            PG13       26390144.969948
1040            PG13       26520409.464053
1045            PG13       26656802.531492
1050            PG13       26798988.439475
1055            PG13       26946608.596066
1060            PG13       27099287.540746
1065            PG13       27256631.479692
1070            PG13       27418232.073155
1075            PG13       27583669.017274
1080            PG13       27752511.002514
1085            PG13       27924322.801777
1090            PG13       28098656.254509
1095            PG13       28275067.691032
1100            PG13       28453109.426877
1105            PG13       28632334.107691
1110            PG13       28812297.046951
1115            PG13       28992555.835768
1120            PG13       29172676.571680
1125            PG13       29352233.779889
1130            PG13       29530803.290747
1135            PG13       29707978.663933
1140            PG13       29883364.278514
1145            PG13       30056568.805533
1150            PG13       30227220.395552
