TIME [s]   ID         DISTANCE [m]   
0          PG16       23276973.977234
5          PG16       23171702.320842
10         PG16       23068987.755447
15         PG16       22969412.351530
20         PG16       22873564.110529
25         PG16       22782020.908494
30         PG16       22695365.340038
35         PG16       22614168.675382
40         PG16       22538980.964720
45         PG16       22470350.279200
50         PG16       22408800.177763
55         PG16       22354828.633229
60         PG16       22308909.266520
65         PG16       22271483.659511
70         PG16       22242962.021612
75         PG16       22223706.239464
80         PG16       22214054.472070
85         PG16       22214289.931612
90         PG16       22224648.813507
95         PG16       22245321.309610
100        PG16       22276454.238748
105        PG16       22318132.272841
110        PG16       22370394.734977
115        PG16       22433229.280676
120        PG16       22506569.981518
125        PG16       22590303.402618
130        PG16       22684264.880420
135        PG16       22788243.055561
140        PG16       22901983.356741
145        PG16       23025183.883388
150        PG16       23157512.671468
155        PG16       23298594.383842
160        PG16       23448025.543881
165        PG16       23605366.537542
170        PG16       23770160.237859
175        PG16       23941926.689908
180        PG16       24120164.471822
185        PG16       24304358.072826
190        PG16       24493981.880333
195        PG16       24688502.065397
200        PG16       24887378.453117
205        PG16       25090070.723126
210        PG16       25296038.103317
215        PG16       25504745.096000
220        PG16       25715657.497326
225        PG16       25928255.712440
230        PG16       26142022.337253
235        PG16       26356454.626174
240        PG16       26571067.088962
245        PG16       26785385.566753
250        PG16       26998944.078878
255        PG16       27211308.098678
260        PG16       27422048.848397
265        PG16       27630760.839222
270        PG16       27837058.262963
275        PG16       28040568.277985
280        PG16       28240947.942543
285        PG16       28437869.417347
290        PG16       28631024.079203
295        PG16       28820129.369284
300        PG16       29004914.370950
305        PG16       29185133.583234
310        PG16       29360570.956321
315        PG16       29531015.901906
320        PG16       29696289.738123
325        PG16       29856224.797431
330        PG16       30010684.105685
335        PG16       30159542.619215
340        PG16       30302697.495740
345        PG16       30440065.097907
350        PG16       30571578.563654
355        PG16       30697194.000512
360        PG16       30816878.008863
365        PG16       30930620.985461
370        PG16       31038428.840644
375        PG16       31140325.375819
380        PG16       31236344.687140
385        PG16       31326543.423859
390        PG16       31410988.638783
395        PG16       31489765.238359
400        PG16       31562966.018549
405        PG16       31630697.523951
410        PG16       31693088.050390
415        PG16       31750268.027379
420        PG16       31802381.381391
425        PG16       31849583.880212
430        PG16       31892035.297997
435        PG16       31929912.102186
440        PG16       31963395.778379
445        PG16       31992667.136785
450        PG16       32017927.017798
455        PG16       32039372.263209
460        PG16       32057204.784191
465        PG16       32071633.503051
470        PG16       32082869.268326
475        PG16       32091123.223458
480        PG16       32096610.282539
485        PG16       32099537.704897
490        PG16       32100123.435938
495        PG16       32098576.052705
500        PG16       32095101.992428
505        PG16       32089908.786791
510        PG16       32083186.417051
515        PG16       32075137.317895
520        PG16       32065946.042898
525        PG16       32055793.003773
530        PG16       32044846.949724
535        PG16       32033276.670131
540        PG16       32021227.318239
545        PG16       32008846.642543
550        PG16       31996265.657263
555        PG16       31983604.622186
560        PG16       31970969.119370
565        PG16       31958454.966231
570        PG16       31946143.565686
575        PG16       31934100.824346
580        PG16       31922378.562069
585        PG16       31911019.570447
590        PG16       31900045.314745
595        PG16       31889462.555682
600        PG16       31879269.866899
605        PG16       31869445.921356
610        PG16       31859956.303341
615        PG16       31850749.597298
620        PG16       31841763.937642
625        PG16       31832921.579917
630        PG16       31824127.862512
635        PG16       31815287.250803
640        PG16       31806272.165551
645        PG16       31796965.344488
650        PG16       31787220.444964
655        PG16       31776886.094178
660        PG16       31765807.841128
665        PG16       31753816.432352
670        PG16       31740733.278463
675        PG16       31726376.384262
680        PG16       31710558.569527
685        PG16       31693077.252090
690        PG16       31673742.938735
695        PG16       31652347.260495
700        PG16       31628688.337906
705        PG16       31602562.693649
710        PG16       31573765.528801
715        PG16       31542089.381826
720        PG16       31507332.406079
725        PG16       31469299.462444
730        PG16       31427793.621663
735        PG16       31382624.958954
740        PG16       31333608.964519
745        PG16       31280572.972633
750        PG16       31223347.983663
755        PG16       31161774.090339
760        PG16       31095704.752554
765        PG16       31024996.453190
770        PG16       30949524.849871
775        PG16       30869172.836353
780        PG16       30783846.569115
785        PG16       30693452.776786
790        PG16       30597922.038492
795        PG16       30497197.514427
800        PG16       30391234.604607
805        PG16       30280014.645591
810        PG16       30163524.290975
815        PG16       30041774.460408
820        PG16       29914799.086933
825        PG16       29782637.879098
830        PG16       29645361.949515
835        PG16       29503053.781751
840        PG16       29355818.784633
845        PG16       29203782.902982
850        PG16       29047084.749811
855        PG16       28885894.054919
860        PG16       28720394.093630
865        PG16       28550788.644439
870        PG16       28377304.349004
875        PG16       28200181.117051
880        PG16       28019689.039363
885        PG16       27836110.775757
890        PG16       27649752.068866
895        PG16       27460929.886363
900        PG16       27269985.358131
905        PG16       27077283.175791
910        PG16       26883197.065349
915        PG16       26688115.335189
920        PG16       26492448.812149
925        PG16       26296618.671518
930        PG16       26101061.889367
935        PG16       25906223.263133
940        PG16       25712556.996379
945        PG16       25520536.635745
950        PG16       25330633.807218
955        PG16       25143325.842151
960        PG16       24959098.140554
965        PG16       24778431.355417
970        PG16       24601811.191863
975        PG16       24429716.181370
980        PG16       24262618.344740
985        PG16       24100983.098739
990        PG16       23945263.215058
995        PG16       23795896.592765
1000       PG16       23653304.572477
1005       PG16       23517887.974467
1010       PG16       23390023.425896
1015       PG16       23270063.431374
1020       PG16       23158323.936638
1025       PG16       23055104.865771
1030       PG16       22960653.944564
1035       PG16       22875196.624795
1040       PG16       22798914.058113
1045       PG16       22731940.428788
1050       PG16       22674381.2312  
1055       PG16       22626291.029320
1060       PG16       22587682.292508
1065       PG16       22558522.998640
1070       PG16       22538738.601777
1075       PG16       22528209.627804
1080       PG16       22526775.376255
1085       PG16       22534233.960421
1090       PG16       22550341.549524
1095       PG16       22574821.387750
1100       PG16       22607349.559888
1105       PG16       22647585.075955
1110       PG16       22695147.610346
1115       PG16       22749624.062963
1120       PG16       22810587.613066
1125       PG16       22877578.415650
1130       PG16       22950129.487543
1135       PG16       23027747.193304
1140       PG16       23109931.402737
1145       PG16       23196169.364553
1150       PG16       23285943.903535
1155       PG16       23378731.163583
1160       PG16       23474006.600769
1165       PG16       23571245.768764
1170       PG16       23669926.956259
1175       PG16       23769536.787591
1180       PG16       23869565.239919
1185       PG16       23969512.390640
1190       PG16       24068890.255023
1195       PG16       24167223.226284
1200       PG16       24264047.934856
1205       PG16       24358916.799893
1210       PG16       24451401.110028
1215       PG16       24541077.475499
1220       PG16       24627558.022450
1225       PG16       24710461.933118
1230       PG16       24789431.368971
1235       PG16       24864127.681745
1240       PG16       24934234.339660
1245       PG16       24999455.524985
1250       PG16       25059510.712563
1255       PG16       25114155.827409
1260       PG16       25163156.797637
1265       PG16       25206307.076597
1270       PG16       25243416.990140
1275       PG16       25274333.069300
1280       PG16       25298914.966291
1285       PG16       25317048.529903
1290       PG16       25328640.230668
1295       PG16       25333627.699687
1300       PG16       25331968.082172
1305       PG16       25323643.726912
1310       PG16       25308661.831043
1315       PG16       25287054.390096
1320       PG16       25258879.430406
1325       PG16       25224211.213570
1330       PG16       25183161.973046
1335       PG16       25135862.412556
1340       PG16       25082467.575139
1345       PG16       25023159.787982
1350       PG16       24958140.43264 
1355       PG16       24887649.780064
1360       PG16       24811932.135230
1365       PG16       24731278.446528
1370       PG16       24645988.739350
1375       PG16       24556395.111264
1380       PG16       24462850.350335
1385       PG16       24365731.350255
1390       PG16       24265433.078130
1395       PG16       24162384.802352
1400       PG16       24057028.112397
1405       PG16       23949827.612079
1410       PG16       23841267.031828
1415       PG16       23731847.520442
1420       PG16       23622088.660572
1425       PG16       23512528.479492
1430       PG16       23403717.467399
1435       PG16       23296209.363881
1440       PG16       23190581.733732
