TIME [s]   DISTANCE [m]   
0          30691084.5163153    
900        30804612.3772084    
1800       30901077.0434771    
2700       30972054.4932149    
3600       31009589.3671614    
4500       31006456.7971435    
5400       30956361.7363108    
6300       30854137.0038206    
7200       30695905.9858887    
8100       30479203.7056887    
9000       30203098.9574338    
9900       29868257.3491376    
10800      29476985.2994856    
11700      29033236.9205678    
12600      28542588.716475     
13500      28012163.6942098    
14400      27450502.5146591    
15300      26867408.7561973    
16200      26273705.4266303    
17100      25680927.4193335    
18000      25100979.723732     
18900      24545701.8916324    
19800      24026366.341217     
20700      23553183.3616871    
21600      23134770.289502     
22500      22777663.0499246    
23400      22485960.6431759    
24300      22261064.9241691    
25200      22101651.5267156    
26100      22003808.2153435    
27000      21961371.5502785    
27900      21966397.0798226    
28800      22009726.0706924    
29700      22081580.3086371    
30600      22172102.8650727    
31500      22271881.1450451    
32400      22372356.8647529    
33300      22466152.2885228    
34200      22547317.3911922    
35100      22611519.1032888    
36000      22656132.7189614    
36900      22680310.3235433    
37800      22684995.2615449    
38700      22672869.0299124    
39600      22648288.1447093    
40500      22617146.882133     
41400      22586656.8651508    
42300      22565104.0872245    
43200      22561482.0442808    
44100      22585072.0080898    
45000      22644945.0978873    
45900      22749435.2252473    
46800      22905587.9869501    
47700      23118657.7407747    
48600      23391693.2759301    
49500      23725297.8699924    
50400      24117502.1449436    
51300      24563860.3992529    
52200      25057698.6285314    
53100      25590470.0319072    
54000      26152213.3724674    
54900      26732037.6475657    
55800      27318595.6762722    
56700      27900551.1202526    
57600      28466947.9321909    
58500      29007582.8778194    
59400      29513248.5209215    
60300      29975966.0218503    
61200      30389130.4392592    
62100      30747633.9016429    
63000      31047901.281645     
63900      31287950.2318271    
64800      31467333.9290923    
65700      31587138.4425536    
66600      31649886.7931167    
67500      31659447.1225248    
68400      31620917.6372688    
69300      31540462.2118739    
70200      31425172.9952855    
71100      31282836.8679045    
72000      31121743.7566577    
72900      30950427.0203178    
73800      30777389.8411866    
74700      30610846.8672497    
75600      30458404.29149      
76500      30326775.5728273    
77400      30221520.2012433    
78300      30146795.5298783    
79200      30105171.2330615    
80100      30097502.0080176    
81000      30122903.5958526    
81900      30178764.0400337    
82800      30260876.0110612    
83700      30363609.5873459    
84600      30480158.6605316    
85500      30602812.8616484    
