TIME [s]   ID         DISTANCE [m]   
0          PR05       22631059.691051
5          PR05       22656429.358438
10         PR05       22679668.698774
15         PR05       22701044.506074
20         PR05       22720856.993377
25         PR05       22739425.874536
30         PR05       22757085.770662
35         PR05       22774199.462975
40         PR05       22791140.251369
45         PR05       22808296.926932
50         PR05       22826072.542191
55         PR05       22844878.352604
60         PR05       22865131.349935
65         PR05       22887255.770959
70         PR05       22911673.919026
75         PR05       22938810.936128
80         PR05       22969079.661372
85         PR05       23002889.963369
90         PR05       23040644.991733
95         PR05       23082728.004918
100        PR05       23129502.233282
105        PR05       23181318.375655
110        PR05       23238503.744810
115        PR05       23301347.296814
120        PR05       23370128.613803
125        PR05       23445081.803793
130        PR05       23526409.874483
135        PR05       23614287.916598
140        PR05       23708850.875049
145        PR05       23810189.118867
150        PR05       23918364.527983
155        PR05       24033393.964180
160        PR05       24155255.150373
165        PR05       24283886.737491
170        PR05       24419181.555982
175        PR05       24561006.179324
180        PR05       24709179.824532
185        PR05       24863488.476686
190        PR05       25023681.224084
195        PR05       25189476.916894
200        PR05       25360557.806556
205        PR05       25536582.515865
210        PR05       25717176.622017
215        PR05       25901950.683721
220        PR05       26090484.649933
225        PR05       26282341.226700
230        PR05       26477066.064330
235        PR05       26674189.381446
240        PR05       26873230.167667
245        PR05       27073698.608337
250        PR05       27275092.945019
255        PR05       27476906.830418
260        PR05       27678641.359662
265        PR05       27879778.148176
270        PR05       28079819.988159
275        PR05       28278260.565442
280        PR05       28474599.881062
285        PR05       28668345.514959
290        PR05       28859013.541895
295        PR05       29046132.178635
300        PR05       29229242.862643
305        PR05       29407887.900755
310        PR05       29581635.261561
315        PR05       29750065.688886
320        PR05       29912774.050025
325        PR05       30069371.583218
330        PR05       30219489.481262
335        PR05       30362779.105872
340        PR05       30498904.720039
345        PR05       30627558.387276
350        PR05       30748452.393264
355        PR05       30861318.798255
360        PR05       30965911.939302
365        PR05       31062010.356990
370        PR05       31149411.439970
375        PR05       31227943.460180
380        PR05       31297453.976897
385        PR05       31357817.176869
390        PR05       31408930.231549
395        PR05       31450713.852395
400        PR05       31483118.816462
405        PR05       31506118.478882
410        PR05       31519715.544832
415        PR05       31523930.860881
420        PR05       31518814.449165
425        PR05       31504447.903954
430        PR05       31480934.851123
435        PR05       31448400.984375
440        PR05       31407005.509827
445        PR05       31356928.206526
450        PR05       31298374.828742
455        PR05       31231575.495396
460        PR05       31156792.464156
465        PR05       31074308.044014
470        PR05       30984427.876276
