TIME [min]      ID         DISTANCE [m]   
0               PG12       29800497.426292
5               PG12       29911568.093082
10              PG12       30024865.98277 
15              PG12       30139999.607725
20              PG12       30256570.813465
25              PG12       30374177.495852
30              PG12       30492410.831069
35              PG12       30610867.387787
40              PG12       30729140.547551
45              PG12       30846828.686135
50              PG12       30963525.665056
55              PG12       31078843.091475
60              PG12       31192392.901708
65              PG12       31303788.153524
70              PG12       31412662.067811
75              PG12       31518653.479450
80              PG12       31621411.703339
85              PG12       31720595.405717
90              PG12       31815880.912405
95              PG12       31906954.29547 
100             PG12       31993520.930172
105             PG12       32075291.069401
110             PG12       32151998.480873
115             PG12       32223389.178202
120             PG12       32289230.400882
125             PG12       32349298.598986
130             PG12       32403394.734004
135             PG12       32451324.156909
140             PG12       32492925.796017
145             PG12       32528044.513440
150             PG12       32556547.612207
155             PG12       32578315.780215
160             PG12       32593252.211328
165             PG12       32601274.483092
170             PG12       32602321.292222
175             PG12       32596341.322432
180             PG12       32583306.636991
185             PG12       32563206.561425
190             PG12       32536049.070038
195             PG12       32501853.563646
200             PG12       32460655.646679
205             PG12       32412514.967865
210             PG12       32357501.535329
215             PG12       32295703.781606
220             PG12       32227223.960750
225             PG12       32152179.795276
230             PG12       32070705.413176
235             PG12       31982949.006522
240             PG12       31889068.218673
245             PG12       31789239.211405
250             PG12       31683652.399887
255             PG12       31572509.306746
260             PG12       31456021.9266  
265             PG12       31334414.920583
270             PG12       31207924.260219
275             PG12       31076797.356242
280             PG12       30941285.742740
285             PG12       30801657.435074
290             PG12       30658184.026110
295             PG12       30511149.050800
300             PG12       30360840.903906
305             PG12       30207544.914034
310             PG12       30051568.505668
315             PG12       29893212.323603
320             PG12       29732780.084970
325             PG12       29570583.064786
330             PG12       29406931.911897
335             PG12       29242131.899391
340             PG12       29076498.942901
345             PG12       28910338.354872
350             PG12       28743951.846883
355             PG12       28577645.609935
360             PG12       28411715.821233
365             PG12       28246445.050443
370             PG12       28082121.962592
375             PG12       27919020.623605
380             PG12       27757398.950012
385             PG12       27597514.873215
390             PG12       27439610.943951
395             PG12       27283908.320298
400             PG12       27130628.341265
405             PG12       26979965.225419
410             PG12       26832104.291296
415             PG12       26687211.407854
420             PG12       26545437.305899
425             PG12       26406907.553756
430             PG12       26271734.508418
435             PG12       26140015.994580
440             PG12       26011819.786274
445             PG12       25887195.782067
450             PG12       25766184.225820
455             PG12       25648791.926403
460             PG12       25535009.579166
465             PG12       25424815.052763
470             PG12       25318160.245342
475             PG12       25214978.360858
480             PG12       25115186.813146
