TIME [s]   SATELITE_I DISTANCE [m]        
9000       09         29455264.3343962    
9000       10         28795514.2827514    
9000       11         29330302.1580845    
9000       12         23800713.3246978    
9000       13         21368559.765201     
9000       14         30593084.8163729    
9000       15         22324200.4700818    
9000       16         31706934.599973     
9000       17         23536811.2651941    
9000       18         28356723.0986057    
9000       19         21233972.6415411    
9000       20         26261400.5075625    
9000       21         30203098.9574338    
9000       22         29042500.6323562    
9000       23         31176853.3843868    
9000       24         22904643.6744085    
9000       25         26442156.1169001    
9000       26         31490137.5805697    
9000       27         32849136.6510498    
9000       28         25167888.139869     
9000       29         26124015.9244177    
9000       30         23855899.9790242    
9000       31         31956564.7080098    
9000       32         29213495.3653135    
9900       01         28636047.4208226    
9900       02         21447360.0016944    
9900       03         28149939.9856387    
9900       04         32730318.7132595    
9900       05         25112700.6007463    
9900       06         21338696.8668586    
9900       07         27319718.0909993    
9900       08         32140225.9336857    
9900       09         29726591.5877306    
9900       10         28892519.8533614    
9900       11         29857812.6993936    
9900       12         23618551.8624179    
9900       13         21751531.9516405    
9900       14         30158869.0602425    
9900       15         22452719.5333027    
9900       16         31685711.2030765    
9900       17         24051289.7758518    
9900       18         28384932.1369667    
9900       19         21688621.2676422    
9900       20         26259842.9661851    
9900       21         29868257.3491376    
9900       22         29058800.1594125    
9900       23         31296278.2464486    
9900       24         22411704.5003586    
9900       25         26198278.291874     
9900       26         31438196.2109182    
9900       27         32768303.900629     
9900       28         25302595.0036052    
9900       29         25608021.6610625    
9900       30         24337067.0364563    
9900       31         31779292.2577851    
9900       32         28757274.1030737    
10800      01         29171523.3775852    
10800      02         21136094.7360169    
10800      03         28120343.805127     
10800      04         32531310.4107407    
10800      05         25005823.6553691    
10800      06         21347941.9874147    
10800      07         27894102.5770046    
10800      08         32232029.2153799    
10800      09         29935615.5732631    
10800      10         29009981.8054083    
10800      11         30357218.3967326    
10800      12         23427725.1199391    
10800      13         22181436.2403578    
10800      14         29720980.4001184    
10800      15         22638250.492098     
10800      16         31671646.045794     
10800      17         24557657.1791501    
10800      18         28407993.1820544    
10800      19         22178953.8780932    
10800      20         26209956.4378251    
10800      21         29476985.2994856    
10800      22         29114570.0956549    
10800      23         31355871.216593     
10800      24         21950266.6893221    
10800      25         25944776.6453125    
10800      26         31388472.3310997    
10800      27         32645383.2268077    
10800      28         25430477.4613629    
10800      29         25125913.5455475    
10800      30         24859986.8117917    
10800      31         31549997.1464263    
10800      32         28322597.1430893    
11700      01         29703957.8479554    
11700      02         20892730.5611329    
11700      03         28134209.1699467    
11700      04         32304974.2862101    
11700      05         24844841.2170469    
11700      06         21450614.7668547    
11700      07         28468050.0956183    
11700      08         32278413.695555     
11700      09         30083006.7536825    
11700      10         29137852.8737938    
11700      11         30820980.1177576    
11700      12         23224561.5938571    
11700      13         22642386.3038441    
11700      14         29289607.371876     
11700      15         22869000.2100618    
11700      16         31664218.0114638    
11700      17         25046890.4626854    
11700      18         28416733.5705671    
11700      19         22690536.6941325    
11700      20         26107470.0084329    
11700      21         29033236.9205678    
11700      22         29212043.7044622    
11700      23         31359523.6243884    
11700      24         21533388.8333509    
11700      25         25676582.7970781    
11700      26         31337339.0544124    
11700      27         32486361.4994933    
11700      28         25559078.2869669    
11700      29         24684518.1255501    
11700      30         25415984.7476875    
11700      31         31268498.7437036    
11700      32         27919586.6893974    
12600      01         30222275.2542498    
12600      02         20726784.9551006    
12600      03         28196824.1159248    
12600      04         32057778.8844827    
12600      05         24633311.6665919    
12600      06         21646370.5094509    
12600      07         29031335.9303883    
12600      08         32284095.2831331    
12600      09         30170976.9780571    
12600      10         29265630.2155994    
12600      11         31242953.1278177    
12600      12         23006875.9575414    
12600      13         23118674.9582218    
12600      14         28874845.7804864    
12600      15         23132102.9886199    
12600      16         31661631.498545     
12600      17         25511646.3265847    
12600      18         28402340.3226259    
12600      19         23210198.4482486    
12600      20         25949851.9744167    
12600      21         28542588.716475     
12600      22         29351451.2616929    
12600      23         31312397.4747511    
12600      24         21173952.1535384    
12600      25         25389385.6320394    
12600      26         31280336.1133071    
12600      27         32297674.1829091    
12600      28         25696192.1354705    
12600      29         24288942.4208684    
12600      30         25995321.4482317    
12600      31         30936016.9963241    
12600      32         27557380.1906092    
13500      01         30716275.4271431    
13500      02         20644932.4692515    
13500      03         28311255.0949958    
13500      04         31796102.3370744    
13500      05         24376786.8587635    
13500      06         21931002.8409627    
13500      07         29574062.74505      
13500      08         32254494.3971202    
13500      09         30203264.5932088    
13500      10         29382797.8145471    
13500      11         31618425.4877219    
13500      12         22774139.4606316    
13500      13         23595355.1795476    
13500      14         28486338.0719947    
13500      15         23414294.3748646    
13500      16         31660884.4485195    
13500      17         25946311.6109178    
13500      18         28356676.7330584    
13500      19         23726399.2285434    
13500      20         25736355.3816407    
13500      21         28012163.6942098    
13500      22         29531027.5095045    
